data,macro_phase_label,macro_reader_leg_rico,sup_cat,capit,demand,drop20_atr,bottom_turn,exit,realR,o_que_macro_phase_nao_viu
2020-07-28,MACRO_BULL_RUN,MACRO_BULL_LEG,CLEAN_SKY,NO_CAPITULATION,DEMAND_ABSENT,1.84,False,SCRATCH,-0.04,topo macro iminente (ATH 2075 em 2020-08); demand ausente
2020-07-30,MACRO_BULL_RUN,MACRO_BULL_LEG,SUPPLY_NEAR_AND_REJECTING,NO_CAPITULATION,DEMAND_DEFENDED,0.44,False,WIN_BE,0.9,supply colada rejeitando = fuel baixo (spec_fuel/supply vetaria)
2020-08-04,MACRO_BULL_RUN,MACRO_BULL_LEG,CLEAN_SKY,NO_CAPITULATION,DEMAND_DEFENDED,0.22,False,STOP_LOSS,-1.1,topo macro (3 dias antes do ATH); legpos/momentum exhaustion nao consultado
2020-08-07,MACRO_BULL_RUN,MACRO_BULL_LEG,CLEAN_SKY,NO_CAPITULATION,DEMAND_ABSENT,1.33,False,STOP_LOSS,-1.1,O TOPO MACRO 2075 exato; macro_phase ainda marca BULL_RUN (feature lagging)
2021-05-31,MACRO_BULL_RUN,MACRO_BULL_LEG,CLEAN_SKY,NO_CAPITULATION,DEMAND_DEFENDED,0.13,False,STOP_LOSS,-1.1,range-chop 2021 lido como bull-run por proximidade da maxima de 126d
2021-06-02,MACRO_BULL_RUN,MACRO_BULL_LEG,SUPPLY_NEAR_AND_REJECTING,NO_CAPITULATION,DEMAND_DEFENDED,0.74,False,STOP_LOSS,-1.1,supply rejeitando (fuel baixo) ignorado
2021-06-07,MACRO_BULL_RUN,MACRO_BULL_LEG,SUPPLY_NEAR_AND_REJECTING,NO_CAPITULATION,DEMAND_DEFENDED,2.24,False,STOP_LOSS,-1.1,supply rejeitando ignorado
2021-06-10,MACRO_BULL_RUN,MACRO_BULL_LEG,SUPPLY_BLOCKS_TARGET,NO_CAPITULATION,DEMAND_DEFENDED,2.44,False,STOP_LOSS,-1.1,SUPPLY_BLOCKS_TARGET = fuel baixo explicito; spec_fuel vetaria
2021-11-15,MACRO_BULL_RUN,MACRO_RANGE,SUPPLY_FAR_ENOUGH,NO_CAPITULATION,DEMAND_DEFENDED,0.05,False,STOP_LOSS,-1.1,leitor RICO diz MACRO_RANGE; macro_phase OVERRIDE para BULL_RUN
2021-11-17,MACRO_BULL_RUN,MACRO_RANGE,SUPPLY_NEAR_AND_REJECTING,NO_CAPITULATION,DEMAND_DEFENDED,0.97,False,STOP_LOSS,-1.1,RANGE rico + supply rejeitando; macro_phase cego aos dois
2021-11-22,MACRO_BULL_RUN,MACRO_BULL_LEG,SUPPLY_BLOCKS_TARGET,FALLING_KNIFE,DEMAND_DEFENDED,3.03,False,STOP_LOSS,-1.1,FALLING_KNIFE (spec_capit) + supply bloqueia; macro_phase nao consulta capit
2021-12-28,MACRO_BULL_RUN,MACRO_TRANSITION,CLEAN_SKY,NO_CAPITULATION,DEMAND_DEFENDED,0.0,False,STOP_LOSS,-1.1,leitor rico diz MACRO_TRANSITION; macro_phase OVERRIDE
2021-12-30,MACRO_BULL_RUN,MACRO_TRANSITION,CLEAN_SKY,NO_CAPITULATION,DEMAND_DEFENDED,0.5,False,STOP_LOSS,-1.1,TRANSITION rico ignorado
2022-01-14,MACRO_BULL_RUN,MACRO_TRANSITION,CLEAN_SKY,NO_CAPITULATION,DEMAND_DEFENDED,0.0,False,STOP_LOSS,-1.1,topo local jan-2022 em formacao; TRANSITION rico ignorado
2022-01-18,MACRO_BULL_RUN,MACRO_TRANSITION,SUPPLY_NEAR_AND_REJECTING,NO_CAPITULATION,DEMAND_NEUTRAL,2.17,False,STOP_LOSS,-1.1,TRANSITION + supply rejeitando + demand neutra
2022-01-21,MACRO_BULL_RUN,MACRO_TRANSITION,SUPPLY_NEAR_AND_REJECTING,NO_CAPITULATION,DEMAND_DEFENDED,1.61,False,STOP_LOSS,-1.1,TRANSITION + supply rejeitando
2022-01-25,MACRO_BULL_RUN,MACRO_BULL_LEG,SUPPLY_FAR_ENOUGH,NO_CAPITULATION,DEMAND_NEUTRAL,1.08,False,STOP_LOSS,-1.1,topo pre-guerra; demand neutra; sem confluencia
