bar_idx,datetime,macro_state,family,confidence,policy,supply,demand,volume,mtf,regime,momentum,capit,fuel,risk,macro_phase_weak_evidence,va_policy,bear_v3,EVAL_exitype,EVAL_realR
55,2020-01-14,RANGE_MACRO_BULL_RECLAIM,BULL,medium,TAKE,SUPPLY_BLOCKS_TARGET,DEMAND_FRAGILE,ACCEPTANCE_ABOVE_VALUE,PARTIAL_BULL,MACRO_BULL,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,MACRO_BULL_RUN,REVIEW,ALLOW,SCRATCH,0.97
78,2020-01-20,NO_OVERHEAD_MARKUP,BULL,high,TAKE,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,MACRO_BULL_RUN,TAKE_CANDIDATE,ALLOW,STOP_LOSS,-1.1
116,2020-01-28,MACRO_BULL_RUN_CONTINUATION,BULL,high,TAKE,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,REJECTION_BELOW_VALUE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_NEUTRAL,MACRO_BULL_RUN,REVIEW,ALLOW,STOP_LOSS,-1.1
130,2020-01-30,MACRO_BULL_RUN_CONTINUATION,BULL,high,TAKE,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_NEUTRAL,MACRO_BULL_RUN,REVIEW,ALLOW,WIN_BE,0.79
140,2020-02-03,MACRO_BULL_RUN_CONTINUATION,BULL,high,REVIEW_RISK,SUPPLY_BLOCKS_TARGET,DEMAND_NEUTRAL,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_TOO_SHORT,MACRO_BULL_RUN,TAKE_CANDIDATE,ALLOW,STOP_LOSS,-1.1
149,2020-02-05,CAPITULATION_RECLAIM_VALID,BULL,high,TAKE,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,PARTIAL_BULL,MACRO_BULL,WEAK_MOMENTUM,CLIMAX_RECLAIM,high_fuel,SL_NEUTRAL,MACRO_BULL_RUN,TAKE_CANDIDATE,ALLOW,WIN_HELD,2.7
159,2020-02-06,BULL_PULLBACK_CONTINUATION,BULL,high,TAKE,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,IN_VALUE_BALANCE,PARTIAL_BULL,MACRO_BULL,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,MACRO_BULL_RUN,TAKE_CANDIDATE,ALLOW,WIN_HELD,2.83
217,2020-02-20,NO_OVERHEAD_MARKUP,BULL,high,REVIEW_RISK,CLEAN_SKY_BULLISH,DEMAND_ABSENT,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_TOO_WIDE,MACRO_BULL_RUN,REVIEW,ALLOW,SCRATCH,0.75
237,2020-02-25,MACRO_BULL_RUN_CONTINUATION,BULL,high,REVIEW_RISK,SUPPLY_FAR_NEUTRAL,DEMAND_NEUTRAL,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,high_fuel,SL_TOO_SHORT,MACRO_BULL_RUN,REVIEW,ALLOW,STOP_LOSS,-1.1
287,2020-03-09,NO_OVERHEAD_MARKUP,BULL,high,TAKE,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,high_fuel,SL_NEUTRAL,MACRO_BULL_RUN,TAKE_CANDIDATE,ALLOW,STOP_LOSS,-1.1
351,2020-03-23,UNKNOWN_CONFLICT,NEUTRO,low,REVIEW,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,IN_VALUE_BALANCE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,MACRO_BEAR_MARKDOWN,HUMAN_VISUAL_REQUIRED,ALLOW,SCRATCH,0.82
383,2020-03-31,NO_OVERHEAD_MARKUP,BULL,high,REVIEW_RISK,CLEAN_SKY_BULLISH,DEMAND_ABSENT,REJECTION_BELOW_VALUE,FULL_BULL_ALIGN,MACRO_BROKEN_DISTRIBUTION,STRONG_BULL_MOMENTUM,NO_CAPITULATION,high_fuel,SL_TOO_WIDE,MACRO_RANGE_TRANSITION,REVIEW,ALLOW,SCRATCH,0.61
391,2020-04-01,CORRECTIVE_BEAR_LEG,RISK,medium,SKIP,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,IN_VALUE_BALANCE,MTF_CONFLICT,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_TOO_SHORT,MACRO_RANGE_TRANSITION,REVIEW,ALLOW,WIN_RUNNER,3.9
413,2020-04-07,BULL_PULLBACK_CONTINUATION,BULL,medium,TAKE,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,REJECTION_BELOW_VALUE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,low_fuel,SL_NEUTRAL,MACRO_BULL_RUN,HUMAN_VISUAL_REQUIRED,ALLOW,WIN_HELD,1.46
